region,club,type,distance,date,route,rt_url,rtid,event_url,eid
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/09/08,Mountain Church,/cgi-bin/routesearch_PF.pl?rtid=2090,2090,/cgi-bin/resultsearch_PF.pl?eid=9329&esortby=cert,9329
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100.0,2018/09/08,Andice Pop,/cgi-bin/routesearch_PF.pl?rtid=1213,1213,/cgi-bin/resultsearch_PF.pl?eid=9792&esortby=cert,9792
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,300.0,2018/09/08,Old Cazadero 300,/cgi-bin/routesearch_PF.pl?rtid=958,958,/cgi-bin/resultsearch_PF.pl?eid=9049&esortby=cert,9049
WA: Tri-Cities,Desert River Randonneurs / 947004,ACPB,600.0,2018/09/08,The Big Guns 600k,/cgi-bin/routesearch_PF.pl?rtid=2150,2150,/cgi-bin/resultsearch_PF.pl?eid=9129&esortby=cert,9129
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/09/08,Stove Prairie Counterclockwise,/cgi-bin/routesearch_PF.pl?rtid=177,177,/cgi-bin/resultsearch_PF.pl?eid=9364&esortby=cert,9364
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100.0,2018/09/08,Homer 100k,/cgi-bin/routesearch_PF.pl?rtid=2136,2136,/cgi-bin/resultsearch_PF.pl?eid=8859&esortby=cert,8859
MO: Kansas City,Audax Kansas City / 925005,ACPB,200.0,2018/09/08,Columbia - Higbee 208K Loop,/cgi-bin/routesearch_PF.pl?rtid=2163,2163,/cgi-bin/resultsearch_PF.pl?eid=9170&esortby=cert,9170
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,600.0,2018/09/08,Poudre Canyon 600K,/cgi-bin/routesearch_PF.pl?rtid=1583,1583,/cgi-bin/resultsearch_PF.pl?eid=9365&esortby=cert,9365
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,600.0,2018/09/08,Rochester Hills and Trails,/cgi-bin/routesearch_PF.pl?rtid=1714,1714,/cgi-bin/resultsearch_PF.pl?eid=9260&esortby=cert,9260
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100.0,2018/09/08,Quicker Quickie to Granbury,/cgi-bin/routesearch_PF.pl?rtid=1642,1642,/cgi-bin/resultsearch_PF.pl?eid=9794&esortby=cert,9794
OR: Portland,Oregon Randonneurs / 937020,RUSAP,103.0,2018/09/08,Century Dr,/cgi-bin/routesearch_PF.pl?rtid=2103,2103,/cgi-bin/resultsearch_PF.pl?eid=9547&esortby=cert,9547
AK: Anchorage,Denali Randonneurs / 902007,ACPB,200.0,2018/09/08,route 705 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=705,705,/cgi-bin/resultsearch_PF.pl?eid=8860&esortby=cert,8860
MO: Kansas City,Audax Kansas City / 925005,RUSAP,100.0,2018/09/09,Columbia 100k,/cgi-bin/routesearch_PF.pl?rtid=2302,2302,/cgi-bin/resultsearch_PF.pl?eid=9644&esortby=cert,9644
MO: Kansas City,Audax Kansas City / 925005,ACPB,200.0,2018/09/09,Boonville - California 200K Loop,/cgi-bin/routesearch_PF.pl?rtid=2164,2164,/cgi-bin/resultsearch_PF.pl?eid=9168&esortby=cert,9168
