region,club,type,distance,date,finishers,dnf,eid
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100.0,2018/04/21,2,1.0,9686
TX: West Texas,West Texas Randonneurs / 943003,ACPB,600.0,2018/04/21,2,0.0,8891
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/04/21,22,1.0,9340
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100.0,2018/04/21,34,5.0,8841
VA: Northern,Fredericksburg Cyclists Club / 946018,ACPB,200.0,2018/04/21,10,1.0,9464
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,ACPB,400.0,2018/04/21,2,0.0,8987
TX: Houston,Houston Randonneurs / 943030,ACPB,400.0,2018/04/21,1,0.0,9109
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,300.0,2018/04/21,3,1.0,9594
UT: Salt Lake City,Salt Lake Randonneurs / 944008,ACPB,200.0,2018/04/21,10,0.0,9178
WI: Western,Driftless Randonneurs / 949007,RUSAP,100.0,2018/04/22,3,0.0,9687
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,300.0,2018/04/22,2,0.0,9271
NY: Central/Western,Rochester Bicycling Club / 932030,ACPB,200.0,2018/04/22,8,0.0,9472
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,200.0,2018/04/22,1,0.0,9270
NC: Asheville,Asheville International Randonneurs / 933011,RUSAB,200.0,2018/04/28,3,0.0,9615
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,400.0,2018/04/28,2,2.0,9582
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100.0,2018/04/28,8,2.0,8842
TX: Austin,Hill Country Randonneurs / 943025,ACPB,1000.0,2018/04/28,6,0.0,8972
NC: Raleigh,North Carolina Bicycle Club / 933045,ACPB,300.0,2018/04/28,19,1.0,8979
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,400.0,2018/04/28,0,,9209
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,600.0,2018/04/28,34,2.0,9583
AK: Anchorage,Denali Randonneurs / 902007,ACPB,200.0,2018/04/28,3,1.0,8843
GA: Atlanta,Audax Atlanta / 910004,ACPB,400.0,2018/04/28,14,0.0,9527
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,ACPB,200.0,2018/04/28,66,3.0,9090
MT: Bozeman,Gallatin Valley Bicycle Club / 926001,ACPB,200.0,2018/04/28,11,0.0,9422
